(-3422.220683,2503.855450,1.257329,577.519470344,1781.6158469,1872.881140)
(-3406.407119,2551.288280,1.240663,612.498349525,1787.40910986,1889.440540)
(-3389.805241,2598.450974,1.223996,647.831027892,1792.52635422,1905.999940)
(-3372.419660,2645.330434,1.207329,683.502854418,1796.95805845,1922.559340)
(-3354.255205,2691.913636,1.190663,719.498920587,1800.69508554,1939.118740)
(-3335.316923,2738.187642,1.173996,755.809483059,1803.72642399,1955.678140)
(-3315.610073,2784.139597,1.157329,792.419173943,1806.04340118,1972.237540)
(-3295.140130,2829.756738,1.140663,829.312390164,1807.63774802,1988.796940)
(-3273.912779,2875.026393,1.123996,866.478731032,1808.4990072,2005.356340)
(-3251.933917,2919.935989,1.107329,903.902160679,1808.61940263,2021.915740)
(-3229.209649,2964.473049,1.090663,941.566431601,1807.99157943,2038.475140)
(-3205.746287,3008.625204,1.073996,979.4605171,1806.60567253,2055.034540)
(-3181.550349,3052.380189,1.057329,1017.56776517,1804.45484719,2071.593940)
(-3158.989983,3091.770371,1.047196,1040.00279422,1801.33122663,2080.000000)
(-3133.989926,3135.071608,1.047196,1040.00279422,1801.33122663,2080.000000)
(-3108.989869,3178.372846,1.047196,1040.00279422,1801.33122663,2080.000000)
(-3083.989811,3221.674083,1.047196,1040.00279422,1801.33122663,2080.000000)
(-3058.989754,3264.975320,1.047196,1040.00279422,1801.33122663,2080.000000)
(-3034.203340,3307.844917,1.042200,1045.72465588,1790.52320825,2073.526806)
(-3008.628632,3350.808581,1.025533,1066.83226153,1758.68810057,2056.967406)
(-2982.341448,3393.340053,1.008867,1087.16986786,1726.65182054,2040.408006)
(-2955.349090,3435.427518,0.992200,1106.74014712,1694.42893825,2023.848606)
(-2927.659056,3477.059286,0.975533,1125.54087072,1662.03721524,2007.289206)
(-2899.279037,3518.223793,0.958867,1143.57028143,1629.49445287,1990.729806)
(-2870.216916,3558.909605,0.942200,1160.83188389,1596.81499532,1974.170406)
(-2840.480765,3599.105419,0.925533,1177.3245683,1564.01653178,1957.611006)
(-2810.078846,3638.800072,0.908867,1193.04769339,1531.11676186,1941.051606)
(-2779.019602,3677.982536,0.892200,1208.00558007,1498.12975722,1924.492206)
(-2747.311661,3716.641928,0.875533,1222.19822393,1465.07306768,1907.932806)
(-2714.963830,3754.767509,0.858867,1235.62608456,1431.96422444,1891.373406)
(-2681.985095,3792.348690,0.842200,1248.29428037,1398.81698113,1874.814006)
(-2648.384616,3829.375032,0.825533,1260.2038951,1365.64868231,1858.254606)
(-2614.171727,3865.836249,0.808867,1271.35647022,1332.47662547,1841.695206)
(-2579.355930,3901.722213,0.792200,1281.7579004,1299.31420184,1825.135806)
(-2547.298430,3933.877870,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2511.943091,3969.233209,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2476.587752,4004.588548,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2441.232413,4039.943887,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2405.877074,4075.299226,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2370.521735,4110.654565,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2335.166396,4146.009904,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2299.811057,4181.365243,0.785398,1286.93455204,1286.93413148,1820.000000)
(-2265.253647,4216.211298,0.797065,1281.09075378,1311.33756372,1833.248408)
(-2230.612839,4252.266209,0.813731,1270.43271663,1344.54220533,1849.808917)
(-2196.577730,4288.893432,0.830398,1259.01923936,1377.75374903,1866.369427)
(-2163.157773,4326.082794,0.847065,1246.84853978,1410.9549471,1882.929936)
(-2130.362252,4363.823964,0.863731,1233.91929474,1444.12850138,1899.490446)
(-2098.200276,4402.106459,0.880398,1220.22620521,1477.26073199,1916.050955)
(-2066.680779,4440.919645,0.897065,1205.76856917,1510.33414589,1932.611465)
(-2035.812516,4480.252742,0.913731,1190.54614565,1543.33122278,1949.171975)
(-2005.604061,4520.094822,0.930398,1174.55442936,1576.23795511,1965.732484)
(-1976.063806,4560.434821,0.947065,1157.79381555,1609.03666668,1982.292994)
(-1947.199956,4601.261531,0.963731,1140.26516503,1641.70968197,1998.853503)
(-1919.020528,4642.563613,0.980398,1121.96478659,1674.24271283,2015.414013)
(-1891.533350,4684.329594,0.997065,1102.89418652,1706.61796293,2031.974522)
(-1864.746057,4726.547873,1.013731,1083.05534445,1738.8176725,2048.535032)
(-1838.666090,4769.206723,1.030398,1062.44539607,1770.82731339,2065.095541)
